"fdc_id","nutrient_id","amount"
"167572","1008","180"
"167573","1005","22.29"
"167573","1008","249"
"167573","1004","16.2"
"167573","1003","3.5"
"167574","1004","4.03"
"167574","1003","4.53"
"167574","1005","22.78"
"167574","1008","145"
"167575","1005","23.6"
"167575","1008","207"
"167575","1004","11"
"167575","1003","3.5"
"167576","1003","4.9"
"167576","1005","21.8"
"167576","1008","126"
"167576","1004","2.6"
"167577","1004","2"
"167577","1003","1.1"
"167577","1005","30.4"
"167577","1008","144"
"167578","1003","3.78"
"167578","1004","6.59"
"167578","1005","77.75"
"167578","1008","387"
"167579","1003","1.05"
"167579","1004","5.45"
"167579","1005","82.15"
"167579","1008","383"
"167580","1004","13.69"
"167580","1005","74.61"
"167580","1008","435"
"167580","1003","3"
"167581","1003","9.7"
"167581","1004","34"
"167581","1005","53"
"167581","1008","512"
"167582","1005","64.8"
"167582","1008","475"
"167582","1003","5.4"
"167582","1004","21.6"
"167583","1003","2.56"
"167583","1004","2.32"
"167583","1005","79.16"
"167583","1008","348"
"167584","1003","0"
"167584","1004","0.09"
"167584","1005","72.43"
"167584","1008","291"
"167585","1004","7.19"
"167585","1003","5"
"167585","1005","25.7"
"167585","1008","187"
"167586","1005","60.4"
"167586","1008","519"
"167586","1004","27.5"
"167586","1003","7.5"
"167587","1004","29.66"
"167587","1003","7.65"
"167587","1005","59.4"
"167587","1008","535"
"167588","1004","1.7"
"167588","1005","19.74"
"167588","1008","105"
"167588","1003","2.76"
"167589","1003","2.9"
"167589","1004","1.73"
"167589","1005","18.43"
"167589","1008","101"
"167590","1004","8.2"
"167590","1005","40.24"
"167590","1008","257"
"167590","1003","5.65"
"167591","1003","10.91"
"167591","1004","15.92"
"167591","1005","67.18"
"167591","1008","456"
"167592","1004","17.89"
"167592","1005","76.03"
"167592","1008","474"
"167592","1003","2.19"
"167593","1003","2.19"
"167593","1004","18.79"
"167593","1005","77.34"
"167593","1008","487"
"167594","1003","9.42"
"167594","1004","18.42"
"167594","1005","65.81"
"167594","1008","467"
"167595","1004","17.29"
"167595","1005","64.7"
"167595","1008","459"
"167595","1003","11.16"
"167596","1003","9.67"
"167596","1004","18.93"
"167596","1005","65.11"
"167596","1008","469"
"167597","1004","10.7"
"167597","1005","52.83"
"167597","1008","320"
"167597","1003","3.13"
"167598","1003","5.4"
"167598","1004","8.02"
"167598","1005","51.15"
"167598","1008","298"
"167599","1004","9.34"
"167599","1005","49.09"
"167599","1008","309"
"167599","1003","7.25"
"167600","1003","11.8"
"167600","1004","11.6"
"167600","1005","44.29"
"167600","1008","329"
"167601","1004","4.55"
"167601","1005","40.32"
"167601","1008","215"
"167601","1003","3.31"
"167602","1004","1.39"
"167602","1005","46.24"
"167602","1008","259"
"167602","1003","15.34"
"167603","1003","1.86"
"167603","1004","0.17"
"167603","1005","5.62"
"167603","1008","31"
"167604","1004","0.08"
"167604","1005","19.16"
"167604","1008","84"
"167604","1003","1.75"
"167605","1003","3.24"
"167605","1004","10.3"
"167605","1005","33.99"
"167605","1008","242"
"167606","1004","8.92"
"167606","1005","35.58"
"167606","1008","182"
"167606","1003","2.16"
"167607","1004","1.5"
"167607","1005","0"
"167607","1008","103"
"167607","1003","22.3"
"167608","1003","5.8"
"167608","1004","2.4"
"167608","1005","22.6"
"167608","1008","135"
"167609","1004","4.89"
"167609","1005","3.43"
"167609","1003","24.38"
"167609","1008","155"
"167610","1004","0.4"
"167610","1005","0"
"167610","1008","110"
"167610","1003","26.7"
"167611","1005","0"
"167611","1008","899"
"167611","1004","99.6"
"167611","1003","0.56"
"167612","1004","2.2"
"167612","1003","11.7"
"167612","1005","0"
"167612","1008","67"
"167613","1003","22.7"
"167613","1004","5"
"167613","1005","0"
"167613","1008","136"
"167614","1008","150"
"167614","1004","5.9"
"167614","1003","23.2"
"167614","1005","0"
"167615","1003","39.9"
"167615","1004","30"
"167615","1005","0"
"167615","1008","430"
"167616","1004","8"
"167616","1005","4.3"
"167616","1003","16.6"
"167616","1008","156"
"167617","1003","20.2"
"167617","1004","0.4"
"167617","1005","0"
"167617","1008","84"
"167618","1004","0.4"
"167618","1003","13"
"167618","1005","0"
"167618","1008","56"
"167619","1003","19.3"
"167619","1004","3.8"
"167619","1005","0"
"167619","1008","111"
"167620","1004","0"
"167620","1005","0.2"
"167620","1008","1"
"167620","1003","0"
"167621","1003","57"
"167621","1004","2.6"
"167621","1005","0"
"167621","1008","251"
"167622","1008","116"
"167622","1004","2.66"
"167622","1003","21.5"
"167622","1005","0"
"167623","1003","0.4"
"167623","1004","96.5"
"167623","1005","0"
"167623","1008","870"
"167624","1004","46.1"
"167624","1003","12.6"
"167624","1005","0"
"167624","1008","465"
"167625","1003","0"
"167625","1004","100"
"167625","1005","0"
"167625","1008","900"
"167626","1004","4.4"
"167626","1005","5.1"
"167626","1008","104"
"167626","1003","11"
"167627","1003","0.66"
"167627","1004","0.49"
"167627","1005","11.74"
"167627","1008","54"
"167628","1004","5.44"
"167628","1005","76.93"
"167628","1008","398"
"167628","1003","10.4"
"167629","1003","0.84"
"167629","1004","0.2"
"167629","1005","4.06"
"167629","1008","21"
"167630","1004","0.63"
"167630","1005","8.68"
"167630","1008","44"
"167630","1003","0.81"
"167631","1003","9.88"
"167631","1004","5.22"
"167631","1005","74.93"
"167631","1008","386"
"167632","1004","0.15"
"167632","1005","3.22"
"167632","1008","16"
"167632","1003","0.31"
"167633","1003","4.29"
"167633","1004","2.21"
"167633","1005","39.47"
"167633","1008","195"
"167634","1005","0.08"
"167634","1008","234"
"167634","1004","11.09"
"167634","1003","33.43"
