"fdc_id","nutrient_id","amount"
"329830","1003","24.5"
"330137","1008","61.0"
"330137","1004","0.37"
"330137","1005","3.64"
"330137","1003","10.3"
"330137","2047","59"
"330137","2048","61"
"330415","1004","0.15"
"330415","1008","83.0"
"330415","1005","12.2"
"330415","1003","8.06"
"330415","2047","82"
"330415","2048","83"
"330458","1008","833.0"
"330458","1005","0.84"
"330458","1003","0.0"
"330458","1004","99.1"
"330458","2047","895"
"330458","2048","833"
"330869","1003","27.1"
"330869","1008","220.0"
"330869","1005","0.0"
"330869","1004","11.6"
"331897","1008","156.0"
"331897","1004","5.95"
"331897","1003","23.9"
"331897","1005","0.0"
"331897","2047","149"
"331897","2048","156"
"331960","1005","0.0"
"331960","1003","32.1"
"331960","1004","3.24"
"331960","1008","166.0"
"331960","2047","158"
"331960","2048","166"
"332282","1004","1.48"
"332282","1003","1.41"
"332282","1008","45.0"
"332282","1005","8.05"
"332282","2047","51"
"332282","2048","45"
"332397","1008","106.0"
"332397","1004","3.73"
"332397","1003","16.7"
"332397","1005","0.27"
"332397","2047","101"
"332397","2048","106"
"332597","1008","57.0"
"332597","1005","15.1"
"332597","1004","0.16"
"332597","1003","0.38"
"332791","1008","130.0"
"332791","1004","12.9"
"332791","1003","1.15"
"332791","1005","4.96"
"332791","2047","141"
"332791","2048","130"
"332864","1005","2.63"
"332864","1003","19.3"
"332864","1008","346.0"
"332864","1004","28.1"
"333008","1005","69.6"
"333008","1008","430.0"
"333008","1003","5.79"
"333008","1004","14.3"
"333008","2047","430"
"333281","1004","0.5"
"333281","1003","0.84"
"333281","1005","3.32"
"333281","1008","18.0"
"333281","2047","21"
"333281","2048","18"
"333374","1005","0.0"
"333374","1008","74.0"
"333374","1004","0.45"
"333374","1003","16.3"
"333374","2047","69"
"333374","2048","74"
"333476","1008","56.0"
"333476","1005","0.0"
"333476","1004","0.41"
"333476","1003","12.3"
"333476","2047","53"
"333476","2048","56"
"334194","1005","0.08"
"334194","1003","19.0"
"334194","1004","0.94"
"334194","1008","90.0"
"334194","2047","85"
"334194","2048","90"
"334247","1008","385.0"
"334247","1005","99.6"
"334247","1003","0.0"
"334247","1004","0.32"
"334462","1005","25.5"
"334462","1008","260.0"
"334462","1003","8.88"
"334462","1004","13.6"
"334536","1008","174.0"
"334536","1005","32.5"
"334536","1004","3.19"
"334536","1003","3.84"
"334536","2047","174"
"334628","1004","9.04"
"334628","1005","15.8"
"334628","1003","7.38"
"334628","1008","174.0"
"334628","2047","174"
"334720","1008","229.0"
"334720","1003","5.59"
"334720","1004","9.01"
"334720","1005","31.5"
"334720","2047","229"
"334849","1008","155.0"
"334849","1004","6.39"
"334849","1003","22.8"
"334849","1005","0.0"
"334897","1008","176.0"
"334897","1003","27.7"
"334897","1004","6.36"
"334897","1005","0.0"
"334898","1005","0.0"
"334898","1008","122.0"
"334898","1004","2.48"
"334898","1003","23.4"
"334963","1004","2.41"
"334963","1008","123.0"
"334963","1005","0.0"
"334963","1003","23.7"
"335061","1005","0.0"
"335061","1004","11.4"
"335061","1003","27.3"
"335061","1008","219.0"
"335109","1003","22.7"
"335109","1008","145.0"
"335109","1004","5.32"
"335109","1005","0.0"
"335240","1004","3.55"
"335240","1003","12.3"
"335240","1005","43.1"
"335240","1008","254.0"
"335240","2047","254"
"335245","1003","25.9"
"335245","1004","1.31"
"335306","1003","23.4"
"335306","1004","1.2"
"335419","1003","24.1"
"335419","1004","1.51"
"335422","1004","1.03"
"335422","1003","25.0"
"335425","1004","1.12"
"335425","1003","25.6"
"335428","1004","0.86"
"335428","1003","23.3"
"335433","1004","1.44"
"335433","1003","25.2"
"335442","1004","1.14"
"335442","1003","26.8"
"335695","1003","23.7"
"335695","1004","1.24"
"335774","1003","23.5"
"335774","1004","1.28"
"335777","1003","25.5"
"335777","1004","1.04"
"335782","1003","24.4"
"335782","1004","1.23"
"335785","1004","1.28"
"335785","1003","24.6"
"335912","1003","24.4"
"335912","1004","1.45"
"335927","1004","1.32"
"335927","1003","24.5"
"335930","1003","21.3"
"335930","1004","1.16"
"336067","1004","1.24"
"336067","1003","24.7"
"746758","1003","27.7"
"746758","1005","0.0"
"746758","1004","6.36"
